,standardised_smiles,weights
0,BrC(Br)Br,249.762836332
1,BrC(Br)C(Br)(Br)Br,419.59951053200007
2,BrC(Br)C(Br)Br,341.688998464
3,BrC/C=C/CBr,211.883624392
4,BrC1CCC(Br)C(Br)CCC(Br)C(Br)CCC1Br,635.6508731760001
5,BrCBr,171.852324264
6,BrCC(Br)(Br)Br,341.688998464
7,BrCC(Br)C1CCC(Br)C(Br)C1,423.767248784
8,BrCC(Br)c1ccccc1,261.899274456
9,BrCC1CO1,135.95237688
10,BrCCBr,185.867974328
11,BrCCCBr,199.883624392
12,BrCCCCBr,213.899274456
13,BrCCCCCBr,227.91492452
14,BrCCCCCCBr,241.930574584
15,BrCCOc1ccccc1,199.983677008
16,BrCCc1ccccc1,183.988762388
17,BrCc1ccc(Br)cc1,247.883624392
18,BrCc1cccc(Oc2ccccc2)c1,261.999327072
19,BrCc1ccccc1,169.973112324
20,Brc1c(Br)c(Br)c(Br)c(Br)c1Br,545.5100226000001
21,Brc1c(Br)c(Br)c(Oc2c(Br)c(Br)c(Br)c(Br)c2Br)c(Br)c1Br,949.1782856200001
22,Brc1c(NC2=NCCN2)ccc2nccnc12,291.01195742
23,Brc1c2ccccc2c(Br)c2ccccc12,333.899274456
24,Brc1c2ccccc2cc2ccccc12,255.988762388
25,Brc1cc(Br)c(Oc2cc(Br)c(Br)cc2Br)cc1Br,637.5362373480001
26,Brc1cc(Br)cc(Br)c1,311.778486396
27,Brc1cc(Oc2cc(Br)c(Br)c(Br)c2Br)c(Br)c(Br)c1Br,793.3572614840002
28,Brc1cc2ccccc2c2ccccc12,255.988762388
29,Brc1ccc(-c2ccccc2)cc1,231.988762388
30,Brc1ccc(Br)c(Br)c1,311.778486396
31,Brc1ccc(Br)cc1,233.867974328
32,Brc1ccc(Oc2cc(Br)c(Br)cc2Br)c(Br)c1,559.6257252800001
33,Brc1ccc(Oc2ccc(Br)cc2)cc1,325.894189076
34,Brc1ccc(Oc2ccc(Br)cc2Br)c(Br)c1,481.71521321200004
35,Brc1ccc(Oc2ccccc2)cc1,247.983677008
36,Brc1cccc(-c2ccccc2)c1,231.988762388
37,Brc1ccccc1,155.95746226
38,Brc1ccccc1-c1ccccc1,231.988762388
39,Brc1ccccn1,156.952711228
40,Brc1nc2ccccc2s1,212.924782228
41,C#CC(C)(C)N=C(O)c1cc(Cl)cc(Cl)c1,255.021769332
42,C#CC(C)(C)O,84.057514876
43,C#CC(C)(CC)OC(=O)c1ccccc1C(=O)O,246.089208928
44,C#CC(C)(O)CC,98.07316494
45,C#CC(C)(O)CC(C)C,126.104465068
46,C#CC(C)N(C)C(=O)Nc1ccc(Cl)cc1,236.071640716
47,C#CC(O)(C=CCl)CC,144.034192588
48,C#CC(O)C(CC)CCCC,154.135765196
49,C#CC(O)CCC,98.07316494
50,C#CC(O)CCCCC,126.104465068
51,C#CC1(O)CCCCC1,124.088815004
52,C#CC1(O)CC[C@H]2[C@@H]3CC=C4CC(=O)CCC4[C@H]3CC[C@@]21CC,312.208930136
53,C#CC1=C(C#C)C(=O)C(Cl)=C(Cl)C1=O,223.943184664
54,C#CCC(Cc1cnc2nc(=N)[nH]c(N)c2n1)c1ccc(C(=O)NC(CCC(=O)O)C(=O)O)cc1,477.1760668359999
55,C#CCC1=C(C)C(OC(=O)C2C(C=C(C)C)C2(C)C)CC1=O,300.17254462799997
56,C#CCN(C)CCCOc1ccc(Cl)cc1Cl,271.05306946
57,C#CCN(C)Cc1ccccc1,159.104799416
58,C#CCN(C)[C@H](C)Cc1ccccc1,187.136099544
59,C#CCN1C(=O)COc2cc(F)c(-n3c(O)c4c(c3O)CCC=C4)cc21,354.10158518000003
60,C#CCN[C@@H]1CCc2ccccc21,171.104799416
61,C#CCO,56.026214748
62,C#CCOC(=O)C(C)Oc1ccc(Oc2ncc(Cl)cc2F)cc1,349.05171379600006
63,C#CCOC(=O)C=C(C)C=CCC(C)CCCC(C)C,276.208930136
64,C#CCOC(C(=O)OCCN(C)C)(c1ccccc1)c1ccccc1,337.167793596
65,C#CCOS(=O)OC1CCCCC1Oc1ccc(C(C)(C)C)cc1,350.155180312
66,C#CCOc1ccc2c(C)cc(=O)oc2c1,214.06299418
67,C#C[C@@]1(O)CC[C@H]2[C@@H]3CCC4=CCCC[C@@H]4[C@H]3CC[C@@]21C,284.214015516
68,C#C[C@]1(O)C=C[C@H]2[C@@H]3CC=C4CC(=O)CCC4[C@H]3CC[C@@]21CC,310.193280072
69,C#C[C@]1(O)CC[C@H]2C3=C(C=C[C@@]21CC)C1=C(CC3)CC(=O)CC1,308.177630008
70,C#C[C@]1(O)CC[C@H]2[C@@H]3CC=C4CC(=O)CCC4[C@H]3C(=C)C[C@@]21CC,324.208930136
71,C#C[C@]1(O)CC[C@H]2[C@@H]3CC=C4CC(=O)CCC4[C@H]3CC[C@@]21C,298.193280072
72,C#C[C@]1(O)CC[C@H]2[C@@H]3CC=C4CC(=O)CCC4[C@H]3CC[C@@]21CC,312.208930136
73,C#C[C@]1(O)CC[C@H]2[C@@H]3CC=C4CC(=O)CC[C@]4(C)[C@H]3CC[C@@]21C,312.208930136
74,C#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=NO)CC[C@@H]4[C@H]3CC[C@@]21CC,327.21982916800005
75,C#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CCCC[C@@H]4[C@H]3C(=C)C[C@@]21CC,310.22966558
76,C#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=Cc5oncc5C[C@]4(C)[C@H]3CC[C@@]21C,337.20417910400005
77,C#C[C@]1(O)CC[C@H]2[C@@H]3CCc4cc(O)ccc4[C@H]3CC[C@@]21C,296.177630008
78,C#C[C@]1(O)CC[C@H]2[C@@H]3CCc4cc(OC)ccc4[C@H]3CC[C@@]21C,310.193280072
79,C#C[C@]1(O)CC[C@H]2[C@@H]3CCc4cc(OC5CCCC5)ccc4[C@H]3CC[C@@]21C,364.240230264
80,C#C[C@]1(O)CC[C@H]2[C@@H]3[C@H](C)C=C4CC(=O)CCC4[C@H]3CC[C@@]21C,312.208930136
81,C#C[C@]1(OC(=O)CCCCCC)CC[C@H]2[C@@H]3CC=C4CC(=O)CCC4[C@H]3CC[C@@]21C,410.28209507599996
82,C#C[C@]1(OC(C)=O)CC[C@H]2[C@@H]3CC=C4CC(=O)CCC4[C@H]3CC[C@@]21C,340.20384475599997
83,C#C[C@]1(OC(C)=O)CC[C@H]2[C@@H]3CCC4=CC(=NO)CC[C@@H]4[C@H]3CC[C@@]21CC,369.230393852
84,C#C[C@]1(OC(C)=O)CC[C@H]2[C@@H]3CCC4=C[C@@H](OC(C)=O)CC[C@@H]4[C@H]3CC[C@@]21C,384.230059504
85,C#Cc1ccc(-c2ccccc2F)cc1,196.068828508
86,C#Cc1cccc(Nc2ncnc3cc(OCCOC)c(OCCOC)cc23)c1,393.16885621599994
87,C#N,27.010899031999998
88,C(=C(c1ccccc1)c1ccccc1)c1ccccc1,256.125200512
89,C(=C/c1ccccc1)\CN1CCN(C(c2ccccc2)c2ccccc2)CC1,368.225248896
90,C(=C/c1ccccc1)\c1ccccc1,180.093900384
91,C(=CCC=Nc1ccccc1)C=Nc1ccccc1,248.131348512
92,C(=C\c1ccccc1)\c1ccccc1,180.093900384
93,C(=Cc1ccncc1)c1ccccc1,181.089149352
94,C(=NC1CCCCC1)=NC1CCCCC1,206.17829870399999
95,C(CCOCC1CO1)COCC1CO1,202.120509056
96,C(COCC1CO1)OCC1CO1,174.089208928
97,C/C(=C(/CCO)SSCC1CCCO1)N(C=O)Cc1cnc(C)[nH]c1=N,398.1446326920001
98,C/C(=C(/OCCOc1ccc(Cl)cc1)c1ccc(Cl)cc1Cl)n1ccnc1,422.0355608240001
99,C/C(=C(\CCOC(=O)C(C)C)SS/C(CCOC(=O)C(C)C)=C(/C)N(C=O)Cc1cnc(C)[nH]c1=N)N(C=O)Cc1cnc(C)[nH]c1=N,702.298173192
100,C/C(=C(\CCOC(=O)c1ccccc1)SS/C(CCOC(=O)c1ccccc1)=C(/C)N(C=O)Cc1cnc(C)[nH]c1=N)N(C=O)Cc1cnc(C)[nH]c1=N,770.2668730639999
101,C/C(=C1\CCOC(=O)S1)N(C=O)Cc1cnc(C)[nH]c1=N,308.09431137200005
102,C/C(=C\c1csc(C)n1)[C@@H]1C[C@@H]2O[C@]2(C)CCC[C@H](C)[C@H](O)C(C)C(=O)C(C)(C)[C@@H](O)CC(=O)O1,507.2654590319999
103,C/C=C(/CC[C@@H](C)[C@H]1CC[C@H]2C3=CC[C@H]4[C@H](C)[C@@H](O)CC[C@]4(C)[C@H]3CC[C@@]21C)C(C)C,426.38616622
104,C/C=C(C(=C/C)/c1ccc(OC(C)=O)cc1)\c1ccc(OC(C)=O)cc1,350.15180918399994
105,C/C=C(\C)C=O,84.057514876
106,C/C=C/C=C/CCCCCCCO,182.167065324
107,C/C=C/C=C/CO,98.07316494
108,C/C=C/C[C@@H](C)[C@@H](O)C1C(O)=NC(CC)C(=O)N(C)CC(=O)N(C)[C@@H](CC(C)C)C(O)=N[C@@H](C(C)C)C(=O)N(C)[C@@H](CC(C)C)C(O)=N[C@@H](C)C(O)=N[C@H](C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N(C)[C@@H](C(C)C)C(=O)N1C,1201.8413679919997
109,C/C=C/c1ccc(OC)cc1,148.088815004
110,C/C=C/c1ccc(OCC)c(O)c1,178.099379688
