,assay_name,active_compounds,inactive_compounds,missing_compounds,total,fraction_active,fraction_inactive,fraction_missing
0,TA100,1198.0,3429.0,1541.0,6168.0,0.19422827496757458,0.5559338521400778,0.2498378728923476
1,TA100_S9,1385.0,2965.0,1818.0,6168.0,0.2245460440985733,0.4807068741893645,0.29474708171206226
2,TA1535,283.0,2206.0,3679.0,6168.0,0.04588197146562905,0.35765239948119326,0.5964656290531777
3,TA1535_S9,280.0,2067.0,3821.0,6168.0,0.04539559014267185,0.3351167315175097,0.6194876783398184
4,TA97,147.0,902.0,5119.0,6168.0,0.023832684824902722,0.14623865110246434,0.829928664072633
5,TA97_S9,170.0,840.0,5158.0,6168.0,0.02756160830090791,0.13618677042801555,0.8362516212710766
6,TA98,1022.0,3323.0,1823.0,6168.0,0.16569390402075226,0.5387483787289234,0.29555771725032426
7,TA98_S9,1156.0,2899.0,2113.0,6168.0,0.1874189364461738,0.4700064850843061,0.3425745784695201
8,TA1537,245.0,1836.0,4087.0,6168.0,0.03972114137483787,0.29766536964980544,0.6626134889753567
9,TA1537_S9,240.0,1758.0,4170.0,6168.0,0.038910505836575876,0.2850194552529183,0.6760700389105059
10,TA102,152.0,728.0,5288.0,6168.0,0.02464332036316472,0.11802853437094682,0.8573281452658884
11,TA102_S9,105.0,658.0,5405.0,6168.0,0.017023346303501944,0.10667963683527885,0.8762970168612192
