,assay_name,active_compounds,inactive_compounds,missing_compounds,total,fraction_active,fraction_inactive,fraction_missing
0,ACEA_T47D_80hr_Negative,424.0,1233.0,6130.0,7787.0,0.0544497238988057,0.15834082445100808,0.7872094516501862
1,ACEA_T47D_80hr_Positive,279.0,1374.0,6134.0,7787.0,0.03582894567869526,0.17644792603056375,0.787723128290741
2,APR_HepG2_CellCycleArrest_24h_dn,167.0,834.0,6786.0,7787.0,0.02144599974316168,0.10710157955566971,0.8714524207011686
3,APR_HepG2_CellCycleArrest_24h_up,43.0,959.0,6785.0,7787.0,0.005522023885963786,0.1231539745730063,0.87132400154103
4,APR_HepG2_CellCycleArrest_72h_dn,232.0,766.0,6789.0,7787.0,0.029793245152176705,0.0983690766662386,0.8718376781815846
5,APR_HepG2_CellLoss_24h_dn,286.0,714.0,6787.0,7787.0,0.03672787979966611,0.09169128033902658,0.8715808398613073
6,APR_HepG2_CellLoss_72h_dn,426.0,571.0,6790.0,7787.0,0.054706562219083085,0.07332734043919353,0.8719660973417234
7,APR_HepG2_MicrotubuleCSK_24h_dn,55.0,946.0,6786.0,7787.0,0.007063053807628098,0.12148452549120328,0.8714524207011686
8,APR_HepG2_MicrotubuleCSK_24h_up,90.0,912.0,6785.0,7787.0,0.011557724412482342,0.11711827404648774,0.87132400154103
9,APR_HepG2_MicrotubuleCSK_72h_dn,57.0,929.0,6801.0,7787.0,0.007319892127905484,0.11930139976884552,0.873378708103249
10,APR_HepG2_MicrotubuleCSK_72h_up,110.0,875.0,6802.0,7787.0,0.014126107615256196,0.11236676512135611,0.8735071272633878
11,APR_HepG2_MitoMass_24h_dn,122.0,878.0,6787.0,7787.0,0.01566713753692051,0.11275202260177218,0.8715808398613073
12,APR_HepG2_MitoMass_24h_up,26.0,974.0,6787.0,7787.0,0.00333889816360601,0.12508026197508668,0.8715808398613073
13,APR_HepG2_MitoMass_72h_dn,84.0,900.0,6803.0,7787.0,0.010787209451650187,0.11557724412482343,0.8736355464235264
14,APR_HepG2_MitoMass_72h_up,74.0,913.0,6800.0,7787.0,0.00950301785026326,0.11724669320662642,0.8732502889431103
15,APR_HepG2_MitoMembPot_1h_dn,25.0,272.0,7490.0,7787.0,0.003210479003467317,0.03493001155772441,0.9618595094388083
16,APR_HepG2_MitoMembPot_24h_dn,179.0,820.0,6788.0,7787.0,0.022987029664825992,0.10530371131372801,0.871709259021446
17,APR_HepG2_MitoMembPot_72h_dn,129.0,858.0,6800.0,7787.0,0.016566071657891358,0.11018363939899833,0.8732502889431103
18,APR_HepG2_MitoticArrest_24h_up,205.0,795.0,6787.0,7787.0,0.026325927828432003,0.10209323231026068,0.8715808398613073
19,APR_HepG2_MitoticArrest_72h_up,268.0,715.0,6804.0,7787.0,0.03441633491716964,0.09181969949916527,0.8737639655836651
